,ID,Depth,Diameter,Volume,Ridge Height
0,2023_08_07_50mTorr_h10_1s_032gs_crater8,4.395225356842873,76.17883194624858,1462.4137228397208,-2.612178121769028
1,2023_08_07_50mTorr_h10_1s_860gs_crater16,30.714477136921612,206.47241244172315,424702.9276059126,2.5587270128227324
2,2023_08_07_50mTorr_h10_1s_860gs_crater2,30.85865241613617,215.84701217084145,410472.7978616252,2.475533465214543
3,"2023_08_07_50mTorr_h3,3_1s_032gs_crater12",13.654842559521198,65.92661339723637,16320.532870603949,-2.1146917388501336
4,"2023_08_07_50mTorr_h3,3_1s_860gs_crater6",32.165290284324904,251.69918014612546,654436.7257717672,-0.6632855860208089
5,2023_08_07_6Torr_h10_1s_032_crater10,10.885408830741918,80.06917243237618,19555.409148123184,-0.5078913414276496
6,2023_08_07_6Torr_h10_1s_860gs_crater1,29.45598360865897,242.4144893554336,364371.84950802615,-4.806024435459179
7,2023_08_07_6Torr_h10_1s_860gs_crater18,24.598798702357016,254.0170618662092,538529.6053261845,1.169655224720092
8,"2023_08_07_6Torr_h3,3_1s_032gs_crater14",10.698966111213807,93.72913541980313,25704.230426225513,-0.39501587798055127
9,"2023_08_07_6Torr_h3,3_1s_860gs_crater4",22.707117811063522,239.53488308387193,230363.70925324885,-5.108583724476624
