,Unnamed: 0,ID,Depth,Diameter,Volume,Ridge Height
0,0,2023_08_07_50mTorr_h10_1s_032gs_crater8,0.1527756338319845,0.48151792669186316,116.4275126148319,0.1527756338319845
1,1,2023_08_07_50mTorr_h10_1s_860gs_crater16,0.031069195170729126,0.8519109895657143,1356.431271464367,0.031069195170729126
2,2,2023_08_07_50mTorr_h10_1s_860gs_crater2,0.030078960144547508,0.8324918602478999,1207.8748112618605,0.030078960144547508
3,3,"2023_08_07_50mTorr_h3,3_1s_032gs_crater12",0.24889226632363412,0.7252206519489333,501.86217046027815,0.24889226632363412
4,4,"2023_08_07_50mTorr_h3,3_1s_860gs_crater6",0.03827313830432916,0.779887800542558,1175.5086636757796,0.03827313830432916
5,5,2023_08_07_6Torr_h10_1s_032_crater10,0.024927941658041297,0.8454007079749681,152.91719066061302,0.024927941658041297
6,6,2023_08_07_6Torr_h10_1s_860gs_crater1,0.012176424526389963,0.8028819981437179,356.5366914261117,0.012176424526389963
7,7,2023_08_07_6Torr_h10_1s_860gs_crater18,0.002645618698585918,0.9423176694820272,300.5803538801032,0.002645618698585918
8,8,"2023_08_07_6Torr_h3,3_1s_032gs_crater14",0.013065401940103099,0.8391859379171649,91.83013326600451,0.013065401940103099
9,9,"2023_08_07_6Torr_h3,3_1s_860gs_crater4",0.004705700991628337,0.9417118548932286,333.06389869093823,0.004705700991628337
