File,Depth,Diameter,Volume,Ridge Height,Depth Total Error,Diamter Total Error,Volume Total Error,Ridge Height Total Error,ID,Date,Chamber Pressure (Torr),Nozzle Height (h/D),Flow Rate (g/s)
2022_10_25_50mTorr_h10_860gs,30.51728577,206.0641989,358378.82,1.670409245,0.700597095172222,1.639539446954116,24695.074075501325,0.700597095172222,,2022_10_25,0.05,10,8.6
2022_10_25_6Torr_h15_860gs,26.25659508,258.0576097,489362.8971,-1.268249554,0.7000179937656524,1.6660040277326305,39140.43530416909,0.7000179937656524,,2022_10_25,6,15,8.6
2022_10_31_50mTorr_h10_860gs,29.57520498,204.1852369,339658.1509,0.875549912,0.7003632875629411,1.6492645294466222,24144.12956931551,0.7003632875629411,,2022_10_31,0.05,10,8.6
2022_10_31_50mTorr_h3_860gs,32.01556252,268.7146104,737218.5186,-0.29659488,0.7009537089355137,1.6027686885141468,48369.40312667274,0.7009537089355137,,2022_10_31,0.05,3,8.6
2022_11_01_50mTorr_h10_032gs,3.070155387,69.07845373,1855.499843,-2.149632773,0.7142396471430847,1.4801447039065538,1273.6491911921894,0.7142396471430847,,2022_11_01,0.05,10,0.32
2022_11_01_50mTorr_h15_860gs,32.87553434,213.0702175,395442.6792,1.978188497,0.7016933472877998,1.6186502716110311,25318.943818537642,0.7016933472877998,,2022_11_01,0.05,15,8.6
2022_11_01_50mTorr_h3_032gs,12.55839309,78.38774639,23241.94622,-0.781181559,0.7043896761055121,1.6218163226951987,3899.969825252696,0.7043896761055121,,2022_11_01,0.05,3,0.32
2022_11_01_6Torr_h10_860gs,24.98699853,226.0472795,410378.0532,-8.376907098,0.7000032252447156,1.6876601868859866,34490.563790018365,0.7000032252447156,,2022_11_01,6,10,8.6
2023_03_09_50mTorr_h10_860gs_crater1,29.26259125,203.3782298,329527.9358,2.491275909,0.7003256424606065,1.6526104553335423,23672.971601313555,0.7003256424606065,crater1,2023_03_09,0.05,10,8.6
2023_03_10_6Torr_h10_860gs_crater2,24.10186258,229.1474575,407435.2478,-5.582722259,0.700006917479466,1.6875019070300856,35500.95332503863,0.700006917479466,crater2,2023_03_10,6,10,8.6
2023_03_10_6Torr_h10_860gs_crater3,25.62749451,222.3685991,397424.1725,-7.568315476,0.7000174394446304,1.6823940462153852,32568.29177793882,0.7000174394446304,crater3,2023_03_10,6,10,8.6
2023_03_10_6Torr_h10_860gs_crater4,27.10396862,240.8024549,450350.0769,-1.817035414,0.7000341520456864,1.6517679547336472,34894.3632622928,0.7000341520456864,crater4,2023_03_10,6,10,8.6
2023_03_13_6Torr_h10_860gs_crater5,23.55984271,236.0453726,409822.21,-2.645508635,0.7000100514236461,1.687404999090243,36530.66616614323,0.7000100514236461,crater5,2023_03_13,6,10,8.6
2023_03_14_50mTorr_h15_860gs_crater8,31.52335968,207.2499339,385260.5991,1.911071282,0.7010037918768911,1.6316850287845874,25708.603209528217,0.7010037918768911,crater8,2023_03_14,0.05,15,8.6
2023_03_14_50mTorr_h15_860gs_crater9,31.95691213,208.247425,389398.2175,1.735114583,0.7011925653809096,1.6274729247626614,25636.483064980137,0.7011925653809096,crater9,2023_03_14,0.05,15,8.6
2023_03_14_6Torr_h10_860gs_crater6,26.05201392,228.8211736,412850.1075,-4.555254207,0.7000341881386722,1.678850666657896,33282.47876262764,0.7000341881386722,crater6,2023_03_14,6,10,8.6
2023_03_14_6Torr_h10_860gs_crater7,23.13833579,247.9336141,437415.4274,-1.268153833,0.7000128325345226,1.6873296459098033,39700.501761260944,0.7000128325345226,crater7,2023_03_14,6,10,8.6
2023_03_15_6Torr_h3_860gs_crater10,19.58733909,234.1349374,315323.116,-4.021077817,0.7000453260853584,1.6799904325393769,33808.46532663217,0.7000453260853584,crater10,2023_03_15,6,3,8.6
2023_03_15_6Torr_h3_860gs_crater11,22.93547653,251.9090178,416852.1507,-5.148416763,0.7000142072750369,1.6872933834216828,38168.91908378386,0.7000142072750369,crater11,2023_03_15,6,3,8.6
2023_08_07_50mTorr_h10_032gs_crater8,4.395225525,76.17883195,3334.476028,-2.612178291,0.7164777696091498,1.4804929969514806,1597.431755587726,0.7164777696091498,crater8,2023_08_07,0.05,10,0.32
2023_08_07_50mTorr_h10_860gs_crater16,30.71447703,206.4724124,350138.8228,2.558727151,0.7006891570559727,1.6388265115267022,23977.972372602333,0.7006891570559727,crater16,2023_08_07,0.05,10,8.6
2023_08_07_50mTorr_h10_860gs_crater2,30.85865331,215.8470122,336836.0823,2.475532603,0.7006459479910383,1.628816347424194,22954.246483656927,0.7006459479910383,crater2,2023_08_07,0.05,10,8.6
2023_08_07_50mTorr_h3_032gs_crater12,13.65484271,65.9266134,19382.09641,-2.114691875,0.7429315924864774,1.5766879870766182,3022.756181819735,0.7429315924864774,crater12,2023_08_07,0.05,3,0.32
2023_08_07_50mTorr_h3_860gs_crater6,32.16529007,251.6991801,671859.3728,-0.663285401,0.7010455284354037,1.6025682457070636,43879.947240836475,0.7010455284354037,crater6,2023_08_07,0.05,3,8.6
2023_08_07_6Torr_h10_032_crater10,10.88540869,80.06917243,20819.28049,-0.507891168,0.7004437180407771,1.6354517292716721,4019.340589793654,0.7004437180407771,crater10,2023_08_07,6,10,0.32
2023_08_07_6Torr_h10_860gs_crater1,29.45598526,242.4144894,510213.0085,-4.806026075,0.7001058958463634,1.6138833350687858,36376.267072096576,0.7001058958463634,crater1,2023_08_07,6,10,8.6
