,ID,Depth,Diameter,Volume
0,02_09_2022_250Torr_test3,31.71490935634724,220.32370128152073,503966.1188851985
1,02_09_2022_6Torr_test1,22.848936453244487,256.75806435390206,496788.268351938
2,02_09_2022_6Torr_test2,22.759185477363687,236.6806138798829,187873.06725503
3,crater01_03_09_2022,27.520265302242617,203.37822975412413,391791.51370312675
4,crater10_03_29_2022,17.672992580231664,234.1349374025068,206191.7565644258
5,crater11_03_29_2022,19.914781838217415,251.90901778019386,244899.77019128282
6,crater12_03_29_2022,29.64968433307588,212.7086936215616,455876.88181413116
7,crater2_03_29_2022,21.527399930829908,229.14745745722433,244435.26509359124
8,crater3_03_29_2022,22.14181781057488,222.36859907151185,222302.15390958058
9,crater4_03_29_2022,24.252844029118958,240.8024548786145,394713.26301343157
10,crater5_03_29_2022,21.269834728356695,236.04537264099426,332067.35501668096
11,crater6_03_29_2022,23.439506685985435,228.82117360007067,294327.3845063995
12,crater7_03_29_2022,20.917779630570458,247.93361411419198,387680.8341359413
13,crater8_03_29_2022,29.38731217281374,207.24993387479591,430986.8363740292
14,crater9_03_29_2022,29.64376132427205,208.24742504699165,434789.55054798693
15,crater_ambient_cropped,18.271764572396087,148.2140693480386,133788.48813133617
