File,Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error,Diameter Error,Volume Error,Ridge Height Error
2022_10_25_50mTorr_h10_860gs.txt,30.51728577,208.9921177,358378.82,1.628968637,0.02809200051159985,0.847340436461862,1228.102860231963,0.02809200051159985
2022_10_25_6Torr_h15_860gs.txt,26.25659508,264.5346118,497269.2883,0.199781314,0.005019122999265737,0.9030888215239166,311.1673258069046,0.005019122999265737
2022_10_31_50mTorr_h10_860gs.txt,29.57520498,209.4959207,339658.1509,2.198690934,0.021055716292841895,0.8610456877281837,1017.3837881163156,0.021055716292841895
2022_10_31_50mTorr_h3_860gs.txt,32.01556252,272.2247533,745355.2638,-0.105876894,0.03655273047735483,0.7802996016939059,1119.4109807509058,0.03655273047735483
2022_11_01_50mTorr_h10_032gs.txt,3.070155387,74.26451785,2390.727098,-2.126284074,0.14984601333905045,0.4812289234106203,113.81049016523943,0.14984601333905045
2022_11_01_50mTorr_h15_860gs.txt,32.87553434,216.1509374,395518.9372,2.228921525,0.0494986059536168,0.8124215053547719,1754.1010048314067,0.0494986059536168
2022_11_01_50mTorr_h3_032gs.txt,12.55839309,83.37289494,25185.5286,-0.507644919,0.04439016390028184,0.8318243949567451,273.19772046074064,0.04439016390028184
2022_11_01_6Torr_h10_860gs.txt,24.98699853,229.5988186,421826.7927,-7.986308424,0.002149692436285543,0.9424419912532296,257.4161814616954,0.002149692436285543
2023_03_09_50mTorr_h10_860gs_crater1.txt,29.26259125,205.1278267,329527.9358,2.407227071,0.021366481256658437,0.8781351364583274,1087.9876176241357,0.021366481256658437
2023_03_10_6Torr_h10_860gs_crater2.txt,24.10186258,251.8882436,457821.2411,-0.280416814,0.0031876448169411205,0.9421585246949702,309.5384854656811,0.0031876448169411205
2023_03_10_6Torr_h10_860gs_crater3.txt,25.62749451,257.5690954,504545.8858,-0.353276935,0.003611772053907738,0.9227926396571885,302.2462793269558,0.003611772053907738
2023_03_10_6Torr_h10_860gs_crater4.txt,27.10396862,262.0751714,476817.7826,0.284422236,0.006914768957097804,0.8765485592521678,323.18362192346785,0.006914768957097804
2023_03_13_6Torr_h10_860gs_crater5.txt,23.55984271,258.7758888,446603.8477,0.264603924,0.003778845401865438,0.9419849417475629,319.30932944141745,0.003778845401865438
2023_03_14_50mTorr_h15_860gs_crater8.txt,31.52335968,210.004429,385690.6855,1.807614811,0.038197817916953744,0.8380907074555981,1518.5672312883953,0.038197817916953744
2023_03_14_50mTorr_h15_860gs_crater9.txt,31.95691213,211.389902,389398.2175,1.681424011,0.04167313682256794,0.8298603021761808,1589.4098202859598,0.04167313682256794
2023_03_14_6Torr_h10_860gs_crater6.txt,26.05201392,257.8080513,481082.0005,0.438270821,0.004561457718612065,0.9094964297226085,308.26623475037957,0.004561457718612065
2023_03_14_6Torr_h10_860gs_crater7.txt,23.13833579,258.5100311,446585.124,0.491997549,0.00423859817375856,0.941849953313419,326.90771942297516,0.00423859817375856
2023_03_15_6Torr_h3_860gs_crater10.txt,19.58733909,263.4814617,367369.1824,-0.309450785,0.008281351069580011,0.9286376326712324,383.9232887838762,0.008281351069580011
2023_03_15_6Torr_h3_860gs_crater11.txt,22.93547653,266.830221,459233.7829,-2.254910373,0.004459864071573921,0.9417849872296855,330.56460782910193,0.004459864071573921
2023_08_07_50mTorr_h10_032gs_crater8.txt,4.395225525,76.47274368,3385.237843,-2.836917249,0.15322542931747946,0.4815622984360907,116.82931376488008,0.15322542931747946
2023_08_07_50mTorr_h10_860gs_crater16.txt,30.71447703,207.4738651,350138.8228,2.25168294,0.030786441770694756,0.8498788782780498,1334.7910440591033,0.030786441770694756
2023_08_07_50mTorr_h10_860gs_crater2.txt,30.85865331,207.1799189,336836.0823,2.686611242,0.032526055080209997,0.8500788105726014,1395.1606065090114,0.032526055080209997
2023_08_07_50mTorr_h3_032gs_crater12.txt,13.65484271,74.32582628,23139.65834,-1.027554079,0.16419991988176533,0.7729785526312328,462.5424857918587,0.16419991988176533
2023_08_07_50mTorr_h3_860gs_crater6.txt,32.16529007,255.6469991,684377.2821,-0.541883034,0.038273135841684715,0.7798878011320227,1175.5085833758385,0.038273135841684715
2023_08_07_6Torr_h10_032_crater10.txt,10.88540869,84.20363294,22030.13108,-0.380044929,0.016408048617768255,0.8429211266240841,108.43348126766259,0.016408048617768255
2023_08_07_6Torr_h10_860gs_crater1.txt,29.45598526,275.4143712,580094.2069,1.481696897,0.01217642822057889,0.8028819464226976,356.5367148431785,0.01217642822057889
2023_08_07_6Torr_h10_860gs_crater18.txt,24.59879843,257.0418948,506225.9494,1.169389149,0.0026456189956555213,0.9423176693948043,300.5803587898087,0.0026456189956555213
2023_08_07_6Torr_h3_032gs_crater14.txt,10.69896576,98.60966964,28511.53703,-0.216812621,0.014532092784408895,0.8366699993306421,101.24481497217928,0.014532092784408895
2023_08_07_6Torr_h3_860gs_crater4.txt,22.70711694,256.2111787,425226.8992,-1.556332164,0.004708944097332161,0.9417118546142689,334.68118371081846,0.004708944097332161
